x,res
-10.0,-0.5533298629212703
-9.99,-0.5840205377096579
-9.98,-0.6157599525895792
-9.97,-0.6486302724257401
-9.96,-0.6827167925749742
-9.950000000000001,-0.71810844702722
-9.940000000000001,-0.7548983632670517
-9.930000000000001,-0.7931844711416413
-9.920000000000002,-0.8330701741445592
-9.910000000000002,-0.8746650928038867
-9.900000000000002,-0.9180858914628965
-9.890000000000002,-0.9634572016094148
-9.880000000000003,-1.0109126571754956
-9.870000000000003,-1.0605960599597144
-9.860000000000003,-1.1126626965933049
-9.850000000000003,-1.1672808324924795
-9.840000000000003,-1.2246334130728824
-9.830000000000004,-1.2849200084538523
-9.820000000000004,-1.3483590452152252
-9.810000000000004,-1.4151903777044281
-9.800000000000004,-1.4856782626574039
-9.790000000000004,-1.5601148147316373
-9.780000000000005,-1.6388240381383725
-9.770000000000005,-1.7221665514336268
-9.760000000000005,-1.810545150575573
-9.750000000000005,-1.9044113909708784
-9.740000000000006,-2.0042734151019443
-9.730000000000006,-2.1107053116744496
-9.720000000000006,-2.224358369714897
-9.710000000000006,-2.3459746930099894
-9.700000000000006,-2.4764037754329484
-9.690000000000007,-2.616622818965321
-9.680000000000007,-2.767761821197376
-9.670000000000007,-2.9311347940237913
-9.660000000000007,-3.1082789385238554
-9.650000000000007,-3.3010042490006946
-9.640000000000008,-3.511456938604274
-9.630000000000008,-3.7422014013241176
-9.620000000000008,-3.9963273571241293
-9.610000000000008,-4.27759169789211
-9.600000000000009,-4.5906088973100605
-9.590000000000009,-4.941110560239551
-9.580000000000009,-5.336305291442502
-9.57000000000001,-5.785387240237727
-9.56000000000001,-6.300270285950047
-9.55000000000001,-6.896673999357358
-9.54000000000001,-7.595775092522949
-9.53000000000001,-8.42680055378904
-9.52000000000001,-9.431273363006259
-9.51000000000001,-10.670142685803004
-9.50000000000001,-12.236839794253294
-9.49000000000001,-14.282068137107473
-9.480000000000011,-17.06569242767372
-9.470000000000011,-21.07743307016845
-9.460000000000012,-27.363160532068488
-9.450000000000012,-38.62739985237959
-9.440000000000012,-64.68150372917546
-9.430000000000012,-190.4891327813413
-9.420000000000012,210.2938607998396
-9.410000000000013,68.65621456924816
-9.400000000000013,41.3373403322796
-9.390000000000013,29.723725470047555
-9.380000000000013,23.29312110103676
